col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
94,94,94,255,24,24,24,255,0
68,68,68,255,34,34,34,255,0
32,32,32,255,38,38,38,255,0
36,36,36,255,169,169,169,255,0
41,41,41,255,31,31,31,255,0
32,32,32,255,119,119,119,255,0
36,36,36,255,34,34,34,255,0
68,68,68,255,38,38,38,255,0
32,32,32,255,95,95,95,255,0
31,31,31,255,122,122,122,255,0
33,33,33,255,128,128,128,255,0
36,36,36,255,37,37,37,255,0
92,92,92,255,35,35,35,255,0
43,43,43,255,27,27,27,255,0
59,59,59,255,40,40,40,255,0
31,31,31,255,39,39,39,255,0
77,77,77,255,37,37,37,255,0
31,31,31,255,36,36,36,255,0
32,32,32,255,75,75,75,255,0
36,36,36,255,34,34,34,255,0
34,34,34,255,38,38,38,255,0
117,117,117,255,53,53,53,255,0
56,56,56,255,38,38,38,255,0
30,30,30,255,77,77,77,255,0
42,42,42,255,31,31,31,255,0
37,37,37,255,179,179,179,255,0
34,34,34,255,37,37,37,255,0
30,30,30,255,162,162,162,255,0
35,35,35,255,38,38,38,255,0
33,33,33,255,40,40,40,255,0
33,33,33,255,106,106,106,255,0
52,52,52,255,36,36,36,255,0
34,34,34,255,43,43,43,255,0
61,61,61,255,36,36,36,255,0
139,139,139,255,28,28,28,255,0
30,30,30,255,49,49,49,255,0
45,45,45,255,36,36,36,255,0
66,66,66,255,163,163,163,255,0
33,33,33,255,32,32,32,255,0
33,33,33,255,35,35,35,255,0
68,68,68,255,37,37,37,255,0
106,106,106,255,42,42,42,255,0
33,33,33,255,101,101,101,255,0
32,32,32,255,36,36,36,255,0
34,34,34,255,35,35,35,255,0
54,54,54,255,31,31,31,255,0
40,40,40,255,138,138,138,255,0
43,43,43,255,33,33,33,255,0
33,33,33,255,140,140,140,255,0
36,36,36,255,88,88,88,255,0
41,41,41,255,33,33,33,255,0
33,33,33,255,34,34,34,255,0
40,40,40,255,97,97,97,255,0
33,33,33,255,38,38,38,255,0
25,25,25,255,67,67,67,255,0
58,58,58,255,67,67,67,255,0
109,109,109,255,33,33,33,255,0
41,41,41,255,109,109,109,255,0
44,44,44,255,35,35,35,255,0
37,37,37,255,31,31,31,255,0
64,64,64,255,32,32,32,255,0
37,37,37,255,40,40,40,255,0
36,36,36,255,36,36,36,255,0
28,28,28,255,37,37,37,255,0
39,39,39,255,108,108,108,255,0
